NaN,13.2,8,4,1,2,3.559,0.552,10.174,1,2.91,6.181,3.993,0,0,0,0,4.2,-92.816,0.493,0.387
NaN,14.9,8,3,0,1,3.915,0.504,10.494,1,2.89,6.378,4.116,0,0,0,0,5.9,-92.79,0.5,0.411
NaN,13.7,8,4,0,2,4.027,0.593,10.237,1,3,6.549,3.688,0,0,0,0,5.7,-92.764,0.78,0.411
NaN,11.6,7,3,0,1,4.014,0.6,9.589,0,2.91,6.25,3.339,0,0,0,0,4.6,-92.738,0.753,0.527
NaN,13.3,8,4,0,2,4.004,0.6,9.492,1,2.89,6.437,3.055,0,0,0,0,6.3,-92.712,0.75,0.525
NaN,12.1,8,3,0,1,4.038,0.6,9.156,1,3,6.365,2.791,0,0,0,0,4.1,-92.686,0.423,0.512
NaN,10.9,8,4,0,2,3.735,0.6,8.478,1,3,5.909,2.569,0,0,0,0,3.9,-92.66,0.68,0.488
NaN,11.3,7,3,0,1,3.554,0.563,8.338,0,3,5.779,2.559,0,0,0,0,3.3,-92.634,0.56,0.488
NaN,12.5,8,4,0,2,3.56,0.504,8.866,1,3.2,5.865,3.001,0,0,0,0,3.5,-92.608,0.55,0.462
NaN,12.4,7,4,0,1,3.518,0.631,9.244,1,3.3,5.968,3.276,0,0,0,0,3.4,-92.582,0.597,0.551
NaN,13.9,8,3,0,1,3.559,0.379,8.86,0,3,5.795,3.065,0,0,0,0,3.9,-92.556,0.507,0.501
NaN,12.7,6,4,1,2,3.441,0.435,8.151,1,2.9,5.485,2.666,0,0,0,0,3.7,-92.53,0.687,0.5
NaN,12.2,5,3,0,1,3.491,0.403,8.035,0,3,5.493,2.542,0,0,0,0,3.2,-92.504,0.607,0.449
NaN,12,6,4,1,2,3.481,0.4,8.385,1,3,5.88,2.505,0,0,0,0,3,-92.478,0.647,0.526
NaN,12.5,5,3,0,1,3.478,0.447,8.672,1,2.91,6.153,2.519,0,0,0,0,2.5,-92.452,0.65,0.425
NaN,13,6,4,1,2,3.459,0.45,8.454,0,3.19,6.007,2.447,0,0,0,0,3,-92.426,0.557,0.299
NaN,12.7,6,3,1,1,3.581,0.403,8.38,1,3.11,5.9,2.48,0,0,0,0,2.7,-92.4,0.55,0.35
NaN,11.5,5,4,1,2,3.461,0.633,8.843,1,3.29,6.18,2.663,0,0,0,0,2.5,-92.374,0.597,0.12
NaN,11.7,6,4,1,1,3.459,0.463,9.101,0,3.5,6.57,2.531,0,0,0,0,1.7,-92.348,0.6,0.12
NaN,12.4,5,3,1,2,3.451,0.497,9.205,1,3.5,6.813,2.392,0,0,0,0,1.4,-92.322,0.413,0.12
NaN,11.8,6,4,1,1,3.378,0.5,9.473,1,3.8,6.977,2.496,0,0,0,0,0.8,-92.296,0.307,0.04
NaN,11.2,6,3,2,2,3.453,0.5,9.375,0,3.61,6.908,2.467,0,0,0,0,0.2,-92.27,0.207,0.075
NaN,12.1,6,4,1,1,3.461,0.687,9.052,1,3.59,6.571,2.481,0,0,0,0,0.1,-92.244,0.107,0.025
NaN,12,5,4,1,2,3.467,0.663,8.995,0,3.5,6.268,2.727,0,0,0,0,0,-92.218,0.007,0
NaN,13,6,4,1,1,3.456,0.511,9.112,1,3.41,6.141,2.971,0,0,0.599999999999909,0,0,-92.192,0,0
NaN,12,5,3,1,2,3.483,0.631,8.879,1,3.89,5.923,2.956,0,0,1.71000000000004,0,0,-92.166,0,0
NaN,13,6,4,2,1,3.467,0.416,8.65,1,4.2,5.917,2.733,0,0,1.69000000000005,0,0,-92.14,0,0
NaN,13,5,4,1,2,3.408,0.96,8.481,1,4.41,5.764,2.717,0,0,1.67000000000007,0,0,-92.114,0,0
NaN,13,6,4,1,1,3.503,0.813,8.132,1,4.3,5.363,2.769,0,0,1.66999999999962,0,0,-92.088,0,0
NaN,12,6,4,1,2,3.495,0.613,8.168,2,4.29,5.365,2.803,0,0,1.66000000000031,0,0,-92.062,0,0
NaN,13,5,4,1,1,3.514,0.563,8.458,1,4.1,5.721,2.737,0,0,1.65999999999985,0,0,-92.036,0,0
NaN,13,5,4,2,2,3.543,0.541,8.15,1,4.2,5.459,2.691,0,0,1.65999999999985,0,0,-92.01,0,0
NaN,12,5,4,1,1,3.566,0.503,7.792,1,4.2,4.925,2.867,0,0,1.65000000000009,0,0,-91.984,0,0
NaN,13,5,4,1,1,3.499,0.407,7.55,2,4.21,4.756,2.794,0,0,1.65999999999985,0,0,-91.958,0,0
NaN,12,4,4,1,2,3.491,0.437,7.3,1,4.29,4.763,2.537,0,0,1.43000000000029,0,0,-91.932,0,0
NaN,13,5,4,1,1,3.47,0.459,7.286,2,4.5,4.777,2.509,0,0,0,0,0,-91.906,0,0
NaN,13,4,4,1,2,3.442,0.497,7.385,1,4.3,4.8,2.585,0,0,0,0,0,-91.88,0,0
NaN,12,4,4,1,1,3.421,0.36,7.578,1,4.7,4.951,2.627,0,0,0,0,0,-91.854,0,0
NaN,13,4,4,1,2,3.277,0.443,7.385,2,4.6,4.781,2.604,0,0,0,0,0,-91.828,0,0
